,Q1,Q1.5a,Q2,Q2.5a,Q2.5b,Q3,Q4,Q5,Q6,Q7,Q8 (modern)
B140_mean,1.1948425505682867,1.1948555007230546,1.1958796065539414,1.2216976936167712,1.1788715433353736,1.216914184829942,1.2265230417323054,1.1615622633852414,1.217133480096957,1.2000084224107275,1.1723681084976327
B141_mean,1.139122718077308,1.144850624471437,1.1463923570488956,1.168504396500097,1.120815292745747,1.1802646619393269,1.1879223799342828,1.1128635653106917,1.1749243776579603,1.1510558115371718,1.1281252895180651
B142_mean,1.170686591963479,1.1767219379611156,1.1767243999628136,1.1931165896576414,1.163144605382063,1.1798075521989857,1.2184865632172617,1.137883300263215,1.1994375718034447,1.174895735494323,1.1440436847278863
B143_mean,1.0922180260397032,1.1101414361637074,1.1009596088174325,1.1106788092379731,1.1027489767589598,1.054889535249446,1.1632718828219142,1.0531626853131477,1.1236785307975976,1.0898511204399033,1.0466636448039432
B144_mean,1.020397687826271,1.0453101564830973,1.0142929839980848,1.0100320334120536,1.025274470919308,0.9275384372441529,1.1072657926309668,0.9489486840423524,1.0367793629999782,0.9905862207545021,0.9261071532773384
B145_mean,0.851728518424928,0.887287741683666,0.851705644788162,0.8453738597520792,0.8681805332852985,0.7580650428949193,0.9664777632678768,0.7753779177420798,0.8713517880577675,0.8160490467084298,0.7506062310435058
B146_mean,0.5891444019404267,0.6244230346202952,0.5672544435158213,0.5568888800081261,0.6174963376370393,0.33631447512718005,0.7234432181201883,0.46240957553547096,0.5671486069256804,0.5046817606057825,0.41237155227076033
B147_mean,-0.8133211807379553,-0.738407566980106,-0.792533684770918,-0.8956979621759679,-0.8085795573306503,-0.9017903621033541,-0.576721182256438,-0.9360794222180465,-0.777387114651873,-0.9073799097032754,-1.0254826138297937
B148_mean,-1.3169479448073185,-1.2433774312219865,-1.2848020719140063,-1.3955233148551758,-1.332542777483812,-1.33105499068284,-1.0896837457252855,-1.4282473096129558,-1.2746730757315203,-1.408309519931497,-1.5116965644064542
B149_mean,-1.732226741260769,-1.6685130905615788,-1.7045053341009277,-1.7857125930943385,-1.748678550971056,-1.7014516388095473,-1.5338859163504917,-1.8290109975041604,-1.6912763843464258,-1.8096106065892912,-1.9065165978367657
B150_mean,-2.1161126755921784,-2.0769521736309984,-2.094717025337818,-2.133270320621454,-2.14262427223496,-2.0675636436014706,-1.9852752343928606,-2.1801230542508834,-2.084757714927989,-2.17780315867343,-2.2374828444774133
B151_mean,-2.2299756398907458,-2.2049284010317987,-2.222520171038355,-2.246521918855459,-2.2545032603315964,-2.204675600740384,-2.1355022321133617,-2.2908046198091254,-2.2127075316727107,-2.292065858450995,-2.3465685776651086
B152_mean,-2.2324783387123808,-2.205821386364904,-2.220771175949443,-2.2457747921676083,-2.2583473388783886,-2.198753267015137,-2.1371965369181813,-2.2930546446186217,-2.213216551182066,-2.2936104416766825,-2.347676327444341
B153_mean,-2.2101599922727506,-2.1786621906334878,-2.1964921222548153,-2.230589096614428,-2.233357211801046,-2.1936408883935417,-2.0975628977940257,-2.2791737549026942,-2.197004571547901,-2.2791848180086074,-2.343489699269373
B154_mean,-2.2486857028171827,-2.212963445662525,-2.2232655418702074,-2.2564056004133635,-2.266887287233534,-2.211141042699062,-2.144570593402913,-2.294184740291834,-2.2205925829557818,-2.3001483321135168,-2.351313172791061
B155_mean,-2.195467898600064,-2.1704678848810848,-2.16828029443812,-2.212354155811277,-2.2176050832439707,-2.1745938134711627,-2.091349712783121,-2.270037818279771,-2.179810938995572,-2.2685007245215476,-2.328980970142872
B156_mean,-2.102191065219692,-2.061368530176101,-2.0832817674260986,-2.126573641919073,-2.117594688499578,-2.0806694961172347,-1.9564370618849247,-2.191978941736127,-2.085768628468122,-2.184208485105433,-2.260471010779823
B157_mean,-2.155413407522128,-2.117938559425057,-2.136596688431114,-2.1682206664459893,-2.171559477632962,-2.1173364416864175,-2.0345533004096787,-2.2286314619666707,-2.132108507060073,-2.225608305270307,-2.294713554539621
B158_mean,-2.246977970643765,-2.2171051981346137,-2.2304638510651618,-2.2472787624836883,-2.262546666698881,-2.2015375202029395,-2.146342509697171,-2.3071371927271547,-2.224352207737339,-2.307314068212377,-2.3624312707345734
B159_mean,-2.1519010817536377,-2.114968321156108,-2.1352214942757435,-2.1649428813555707,-2.168705630942811,-2.120722325281337,-2.031712334354672,-2.22818618531239,-2.1306947101434477,-2.23006388390977,-2.295494543182169
B160_mean,-1.9585870521286588,-1.8984091627698152,-1.9237816506728442,-1.9786092061202296,-1.9664143163072318,-1.906651184560514,-1.8021087558707054,-2.05364600502108,-1.9281449227559693,-2.0443740840292834,-2.1326424593224123
